,player,runs,mins,bf,4s,6s,sr,inns_batting,unnamed:,overs,mdns,runs,wkts,econ,inns_batting,dis,ct,st,ct_wk,ct_fi,opposition,ground,start_date,country
681,AR Patel,8,-,12,1,0,66.66,2,,9.0,1,43,2,4.77,1,0,0,0,0,0,v Bangladesh,Dubai (DICS),2025-02-20,IND
8432,Mehidy Hasan Miraz,5,22,10,1,0,50.00,1,,10.0,0,37,0,3.70,2,0,0,0,0,0,v India,Dubai (DICS),2025-02-20,BAN
11021,Rishad Hossain,18,15,12,1,2,150.00,1,,10.0,0,38,2,3.80,2,2,2,0,0,2,v India,Dubai (DICS),2025-02-20,BAN
6119,KL Rahul,41*,-,47,1,2,87.23,2,,DNB,-,-,-,-,1,3,3,0,3,0,v Bangladesh,Dubai (DICS),2025-02-20,IND
9776,Najmul Hossain Shanto,0,2,2,0,0,0.00,1,,DNB,-,-,-,-,2,1,1,0,0,1,v India,Dubai (DICS),2025-02-20,BAN
13373,Towhid Hridoy,100,185,118,6,2,84.74,1,,DNB,-,-,-,-,2,0,0,0,0,0,v India,Dubai (DICS),2025-02-20,BAN
3736,HH Pandya,DNB,-,-,-,-,-,2,,4.0,0,20,0,5.00,1,1,1,0,0,1,v Bangladesh,Dubai (DICS),2025-02-20,IND
13252,Tanzid Hasan,25,42,25,4,0,100.00,1,,DNB,-,-,-,-,2,0,0,0,0,0,v India,Dubai (DICS),2025-02-20,BAN
11587,SS Iyer,15,-,17,2,0,88.23,2,,DNB,-,-,-,-,1,1,1,0,0,1,v Bangladesh,Dubai (DICS),2025-02-20,IND
7641,MJ Santner,DNB,-,-,-,-,-,1,,10.0,0,66,3,6.60,2,0,0,0,0,0,v Pakistan,Karachi,2025-02-19,NZ
3148,Fakhar Zaman,24,42,41,4,0,58.53,2,,DNB,-,-,-,-,1,1,1,0,0,1,v New Zealand,Karachi,2025-02-19,PAK
2540,DJ Mitchell,10,34,24,0,0,41.66,1,,DNB,-,-,-,-,2,1,1,0,0,1,v Pakistan,Karachi,2025-02-19,NZ
1798,Babar Azam,64,136,90,6,1,71.11,2,,DNB,-,-,-,-,1,0,0,0,0,0,v New Zealand,Karachi,2025-02-19,PAK
