Player,Overs,Mdns,Runs,Wkts,Econ,Inns,,Opposition,Ground,Start Date,
Mashrafe Mortaza (BAN),8.4,0,29,4,3.34,2,,v England,Mirpur,9 Oct 2016,
Rashid Khan (AFG),10.0,1,29,4,2.90,1,,v Ireland,Greater Noida,24 Mar 2017,
MA Starc (AUS),8.3,2,29,4,3.41,1,,v Bangladesh,The Oval,5 Jun 2017,
RA Jadeja (IND),10.0,0,29,4,2.90,1,,v Bangladesh,Dubai (DICS),21 Sep 2018,
Mehidy Hasan Miraz (BAN),10.0,1,29,4,2.90,1,,v West Indies,Sylhet,14 Dec 2018,
PJ Cummins (AUS),9.0,2,29,4,3.22,1,,v India,Nagpur,5 Mar 2019,
Imran Tahir (SA),7.0,0,29,4,4.14,1,,v Afghanistan,Cardiff,15 Jun 2019,
Rashid Khan (AFG),9.0,0,29,4,3.22,2,,v Ireland,Abu Dhabi,26 Jan 2021,
Mehidy Hasan Miraz (BAN),8.0,1,29,4,3.62,1,,v West Indies,Providence,13 Jul 2022,
SM Curran (ENG),6.4,1,29,4,4.35,2,,v Bangladesh,Mirpur,3 Mar 2023,
Mohammad Irfan (PAK),10.0,2,30,4,3.00,2,,v Zimbabwe,Brisbane,1 Mar 2015,
Mohammad Nabi (AFG),9.0,0,30,4,3.33,2,,v Ireland,Greater Noida,22 Mar 2017,
Mohammad Nabi (AFG),9.0,0,30,4,3.33,1,,v Sri Lanka,Cardiff,4 Jun 2019,
TA Boult (NZ),10.0,1,30,4,3.00,2,,v West Indies,Manchester,22 Jun 2019,
Mehidy Hasan Miraz (BAN),10.0,2,30,4,3.00,2,,v Sri Lanka,Mirpur,23 May 2021,
Arshdeep Singh (IND),9.0,1,30,4,3.33,2,,v South Africa,Paarl,21 Dec 2023,
Nangeyalia Kharote (AFG),9.0,4,30,4,3.33,2,,v Ireland,Sharjah,12 Mar 2024,
UT Yadav (IND),9.0,1,31,4,3.44,2,,v Bangladesh,Melbourne,19 Mar 2015,
CH Morris (SA),10.0,1,31,4,3.10,2,,v Sri Lanka,Centurion,10 Feb 2017,
B Kumar (IND),8.0,0,31,4,3.87,2,,v West Indies,Port of Spain,11 Aug 2019,
A Zampa (AUS),5.4,1,31,4,5.47,2,,v England,Melbourne,22 Nov 2022,
JP Faulkner (AUS),7.0,1,32,4,4.57,2,,v Pakistan,Brisbane,13 Jan 2017,
Shadab Khan (PAK),9.0,0,32,4,3.55,2,,v Zimbabwe,Bulawayo,13 Jul 2018,
Mujeeb Ur Rahman (AFG),9.4,0,32,4,3.31,2,,v Netherlands,Doha,23 Jan 2022,
Mohammed Siraj (IND),10.0,1,32,4,3.20,2,,v Sri Lanka,Thiruvananthapuram,15 Jan 2023,
LB Williams (SA),10.0,1,32,4,3.20,2,,v Ireland,Abu Dhabi,2 Oct 2024,
Agha Salman (PAK),8.0,0,32,4,4.00,1,,v South Africa,Paarl,17 Dec 2024,
B Kumar (IND),10.0,3,33,4,3.30,2,,v Zimbabwe,Harare,12 Jul 2015,
CR Woakes (ENG),8.0,0,33,4,4.12,2,,v Pakistan,Abu Dhabi,13 Nov 2015,
MJ Henry (NZ),9.4,2,33,4,3.41,1,,v Sri Lanka,Christchurch,28 Dec 2015,
MA Wood (ENG),10.0,1,33,4,3.30,1,,v Australia,Birmingham,10 Jun 2017,
T Shamsi (SA),8.3,0,33,4,3.88,1,,v Sri Lanka,Dambulla,29 Jul 2018,
KA Maharaj (SA),9.1,2,33,4,3.60,2,,v Australia,Johannesburg,17 Sep 2023,
Abrar Ahmed (PAK),8.0,2,33,4,4.12,1,,v Zimbabwe,Bulawayo,26 Nov 2024,
DJ Willey (ENG),8.4,0,34,4,3.92,2,,v Sri Lanka,Cardiff,2 Jul 2016,
RA Jadeja (IND),9.5,1,34,4,3.45,1,,v West Indies,Thiruvananthapuram,1 Nov 2018,
Mohammad Nabi (AFG),10.0,0,34,4,3.40,2,,v Zimbabwe,Harare,4 Jun 2022,
Shoriful Islam (BAN),8.0,1,34,4,4.25,1,,v West Indies,Providence,10 Jul 2022,
AF Milne (NZ),6.3,0,34,4,5.23,1,,v Bangladesh,Mirpur,26 Sep 2023,
Fazalhaq Farooqi (AFG),10.0,1,34,4,3.40,1,,v Sri Lanka,Pune,30 Oct 2023,
JR Hazlewood (AUS),10.0,1,35,4,3.50,1,,v Pakistan,Adelaide,20 Mar 2015,
ST Finn (ENG),7.0,1,35,4,5.00,2,,v New Zealand,Birmingham,9 Jun 2015,
TA Boult (NZ),10.0,1,35,4,3.50,1,,v India,Wankhede,22 Oct 2017,
JJ Bumrah (IND),10.0,1,35,4,3.50,1,,v West Indies,Pune,27 Oct 2018,
Usman Shinwari (PAK),7.0,0,35,4,5.00,1,,v South Africa,Johannesburg,27 Jan 2019,
MJ Henry (NZ),10.0,1,35,4,3.50,1,,v India,Wellington,3 Feb 2019,
LE Plunkett (ENG),7.0,0,35,4,5.00,1,,v Ireland,Dublin (Malahide),3 May 2019,
TK Curran (ENG),10.0,0,35,4,3.50,1,,v Sri Lanka,Bristol,4 Jul 2021,
PJ Cummins (AUS),8.4,0,35,4,4.03,1,,v Sri Lanka,Pallekele,16 Jun 2022,
Shakib Al Hasan (BAN),10.0,0,35,4,3.50,2,,v England,Chattogram,6 Mar 2023,
Shaheen Shah Afridi (PAK),10.0,2,35,4,3.50,1,,v India,Pallekele,2 Sep 2023,
Fazalhaq Farooqi (AFG),7.0,1,35,4,5.00,1,,v South Africa,Sharjah,18 Sep 2024,
Usman Shinwari (PAK),10.0,1,36,4,3.60,1,,v Zimbabwe,Bulawayo,16 Jul 2018,
AU Rashid (ENG),5.0,0,36,4,7.20,1,,v Sri Lanka,Pallekele,17 Oct 2018,
