Player,Overs,Mdns,Runs,Wkts,Econ,Inns,,Opposition,Ground,Start Date,
UT Khawaja (AUS),DNB,-,-,-,-,2,,v India,Adelaide,15 Jan 2019,
AJ Finch (AUS),DNB,-,-,-,-,2,,v India,Adelaide,15 Jan 2019,
V Kohli (IND),DNB,-,-,-,-,1,,v Australia,Melbourne,18 Jan 2019,
RG Sharma (IND),DNB,-,-,-,-,1,,v Australia,Melbourne,18 Jan 2019,
KD Karthik (IND),DNB,-,-,-,-,1,,v Australia,Melbourne,18 Jan 2019,
S Dhawan (IND),DNB,-,-,-,-,1,,v Australia,Melbourne,18 Jan 2019,
MS Dhoni (IND),DNB,-,-,-,-,1,,v Australia,Melbourne,18 Jan 2019,
SE Marsh (AUS),DNB,-,-,-,-,2,,v India,Melbourne,18 Jan 2019,
PSP Handscomb (AUS),DNB,-,-,-,-,2,,v India,Melbourne,18 Jan 2019,
UT Khawaja (AUS),DNB,-,-,-,-,2,,v India,Melbourne,18 Jan 2019,
AJ Finch (AUS),DNB,-,-,-,-,2,,v India,Melbourne,18 Jan 2019,
AT Carey (AUS),DNB,-,-,-,-,2,,v India,Melbourne,18 Jan 2019,
Imam-ul-Haq (PAK),DNB,-,-,-,-,1,,v South Africa,Gqeberha,19 Jan 2019,
Babar Azam (PAK),DNB,-,-,-,-,1,,v South Africa,Gqeberha,19 Jan 2019,
Shoaib Malik (PAK),DNB,-,-,-,-,1,,v South Africa,Gqeberha,19 Jan 2019,
Sarfaraz Ahmed (PAK),DNB,-,-,-,-,1,,v South Africa,Gqeberha,19 Jan 2019,
HE van der Dussen (SA),DNB,-,-,-,-,2,,v Pakistan,Gqeberha,19 Jan 2019,
DA Miller (SA),DNB,-,-,-,-,2,,v Pakistan,Gqeberha,19 Jan 2019,
F du Plessis (SA),DNB,-,-,-,-,2,,v Pakistan,Gqeberha,19 Jan 2019,
HM Amla (SA),DNB,-,-,-,-,2,,v Pakistan,Gqeberha,19 Jan 2019,
H Klaasen (SA),DNB,-,-,-,-,2,,v Pakistan,Gqeberha,19 Jan 2019,
RR Hendricks (SA),DNB,-,-,-,-,1,,v Pakistan,Durban,22 Jan 2019,
HM Amla (SA),DNB,-,-,-,-,1,,v Pakistan,Durban,22 Jan 2019,
H Klaasen (SA),DNB,-,-,-,-,1,,v Pakistan,Durban,22 Jan 2019,
HE van der Dussen (SA),DNB,-,-,-,-,1,,v Pakistan,Durban,22 Jan 2019,
DA Miller (SA),DNB,-,-,-,-,1,,v Pakistan,Durban,22 Jan 2019,
F du Plessis (SA),DNB,-,-,-,-,1,,v Pakistan,Durban,22 Jan 2019,
Babar Azam (PAK),DNB,-,-,-,-,2,,v South Africa,Durban,22 Jan 2019,
Shoaib Malik (PAK),DNB,-,-,-,-,2,,v South Africa,Durban,22 Jan 2019,
Fakhar Zaman (PAK),DNB,-,-,-,-,2,,v South Africa,Durban,22 Jan 2019,
Sarfaraz Ahmed (PAK),DNB,-,-,-,-,2,,v South Africa,Durban,22 Jan 2019,
Imam-ul-Haq (PAK),DNB,-,-,-,-,2,,v South Africa,Durban,22 Jan 2019,
V Kohli (IND),DNB,-,-,-,-,1,,v New Zealand,Napier,23 Jan 2019,
S Dhawan (IND),DNB,-,-,-,-,1,,v New Zealand,Napier,23 Jan 2019,
MS Dhoni (IND),DNB,-,-,-,-,1,,v New Zealand,Napier,23 Jan 2019,
RG Sharma (IND),DNB,-,-,-,-,1,,v New Zealand,Napier,23 Jan 2019,
AT Rayudu (IND),DNB,-,-,-,-,1,,v New Zealand,Napier,23 Jan 2019,
KS Williamson (NZ),DNB,-,-,-,-,2,,v India,Napier,23 Jan 2019,
C Munro (NZ),DNB,-,-,-,-,2,,v India,Napier,23 Jan 2019,
LRPL Taylor (NZ),DNB,-,-,-,-,2,,v India,Napier,23 Jan 2019,
TWM Latham (NZ),DNB,-,-,-,-,2,,v India,Napier,23 Jan 2019,
HM Nicholls (NZ),DNB,-,-,-,-,2,,v India,Napier,23 Jan 2019,
MJ Guptill (NZ),DNB,-,-,-,-,2,,v India,Napier,23 Jan 2019,
HM Amla (SA),DNB,-,-,-,-,1,,v Pakistan,Centurion,25 Jan 2019,
HE van der Dussen (SA),DNB,-,-,-,-,1,,v Pakistan,Centurion,25 Jan 2019,
F du Plessis (SA),DNB,-,-,-,-,1,,v Pakistan,Centurion,25 Jan 2019,
Q de Kock (SA),DNB,-,-,-,-,1,,v Pakistan,Centurion,25 Jan 2019,
DA Miller (SA),DNB,-,-,-,-,1,,v Pakistan,Centurion,25 Jan 2019,
Imam-ul-Haq (PAK),DNB,-,-,-,-,2,,v South Africa,Centurion,25 Jan 2019,
Babar Azam (PAK),DNB,-,-,-,-,2,,v South Africa,Centurion,25 Jan 2019,
Sarfaraz Ahmed (PAK),DNB,-,-,-,-,2,,v South Africa,Centurion,25 Jan 2019,
Mohammad Hafeez (PAK),DNB,-,-,-,-,2,,v South Africa,Centurion,25 Jan 2019,
Fakhar Zaman (PAK),DNB,-,-,-,-,2,,v South Africa,Centurion,25 Jan 2019,
Shoaib Malik (PAK),DNB,-,-,-,-,2,,v South Africa,Centurion,25 Jan 2019,
KS Williamson (NZ),DNB,-,-,-,-,1,,v India,Mount Maunganui,26 Jan 2019,
MJ Guptill (NZ),DNB,-,-,-,-,1,,v India,Mount Maunganui,26 Jan 2019,
HM Nicholls (NZ),DNB,-,-,-,-,1,,v India,Mount Maunganui,26 Jan 2019,
LRPL Taylor (NZ),DNB,-,-,-,-,1,,v India,Mount Maunganui,26 Jan 2019,
TWM Latham (NZ),DNB,-,-,-,-,1,,v India,Mount Maunganui,26 Jan 2019,
AT Rayudu (IND),DNB,-,-,-,-,2,,v New Zealand,Mount Maunganui,26 Jan 2019,
V Kohli (IND),DNB,-,-,-,-,2,,v New Zealand,Mount Maunganui,26 Jan 2019,
S Dhawan (IND),DNB,-,-,-,-,2,,v New Zealand,Mount Maunganui,26 Jan 2019,
MS Dhoni (IND),DNB,-,-,-,-,2,,v New Zealand,Mount Maunganui,26 Jan 2019,
RG Sharma (IND),DNB,-,-,-,-,2,,v New Zealand,Mount Maunganui,26 Jan 2019,
Shoaib Malik (PAK),DNB,-,-,-,-,1,,v South Africa,Johannesburg,27 Jan 2019,
Imam-ul-Haq (PAK),DNB,-,-,-,-,1,,v South Africa,Johannesburg,27 Jan 2019,
Babar Azam (PAK),DNB,-,-,-,-,1,,v South Africa,Johannesburg,27 Jan 2019,
Mohammad Hafeez (PAK),DNB,-,-,-,-,1,,v South Africa,Johannesburg,27 Jan 2019,
Fakhar Zaman (PAK),DNB,-,-,-,-,1,,v South Africa,Johannesburg,27 Jan 2019,
Mohammad Rizwan (PAK),DNB,-,-,-,-,1,,v South Africa,Johannesburg,27 Jan 2019,
HE van der Dussen (SA),DNB,-,-,-,-,2,,v Pakistan,Johannesburg,27 Jan 2019,
F du Plessis (SA),DNB,-,-,-,-,2,,v Pakistan,Johannesburg,27 Jan 2019,
HM Amla (SA),DNB,-,-,-,-,2,,v Pakistan,Johannesburg,27 Jan 2019,
Q de Kock (SA),DNB,-,-,-,-,2,,v Pakistan,Johannesburg,27 Jan 2019,
DA Miller (SA),DNB,-,-,-,-,2,,v Pakistan,Johannesburg,27 Jan 2019,
RG Sharma (IND),DNB,-,-,-,-,1,,v New Zealand,Mount Maunganui,28 Jan 2019,
AT Rayudu (IND),DNB,-,-,-,-,1,,v New Zealand,Mount Maunganui,28 Jan 2019,
V Kohli (IND),DNB,-,-,-,-,1,,v New Zealand,Mount Maunganui,28 Jan 2019,
S Dhawan (IND),DNB,-,-,-,-,1,,v New Zealand,Mount Maunganui,28 Jan 2019,
KD Karthik (IND),DNB,-,-,-,-,1,,v New Zealand,Mount Maunganui,28 Jan 2019,
LRPL Taylor (NZ),DNB,-,-,-,-,2,,v India,Mount Maunganui,28 Jan 2019,
KS Williamson (NZ),DNB,-,-,-,-,2,,v India,Mount Maunganui,28 Jan 2019,
MJ Guptill (NZ),DNB,-,-,-,-,2,,v India,Mount Maunganui,28 Jan 2019,
TWM Latham (NZ),DNB,-,-,-,-,2,,v India,Mount Maunganui,28 Jan 2019,
C Munro (NZ),DNB,-,-,-,-,2,,v India,Mount Maunganui,28 Jan 2019,
HM Nicholls (NZ),DNB,-,-,-,-,2,,v India,Mount Maunganui,28 Jan 2019,
HE van der Dussen (SA),DNB,-,-,-,-,1,,v Pakistan,Cape Town,30 Jan 2019,
RR Hendricks (SA),DNB,-,-,-,-,1,,v Pakistan,Cape Town,30 Jan 2019,
F du Plessis (SA),DNB,-,-,-,-,1,,v Pakistan,Cape Town,30 Jan 2019,
HM Amla (SA),DNB,-,-,-,-,1,,v Pakistan,Cape Town,30 Jan 2019,
Q de Kock (SA),DNB,-,-,-,-,1,,v Pakistan,Cape Town,30 Jan 2019,
Imam-ul-Haq (PAK),DNB,-,-,-,-,2,,v South Africa,Cape Town,30 Jan 2019,
Babar Azam (PAK),DNB,-,-,-,-,2,,v South Africa,Cape Town,30 Jan 2019,
Mohammad Rizwan (PAK),DNB,-,-,-,-,2,,v South Africa,Cape Town,30 Jan 2019,
Shoaib Malik (PAK),DNB,-,-,-,-,2,,v South Africa,Cape Town,30 Jan 2019,
Fakhar Zaman (PAK),DNB,-,-,-,-,2,,v South Africa,Cape Town,30 Jan 2019,
MJ Guptill (NZ),DNB,-,-,-,-,1,,v India,Hamilton,31 Jan 2019,
HM Nicholls (NZ),DNB,-,-,-,-,1,,v India,Hamilton,31 Jan 2019,
MJ Santner (NZ),DNB,-,-,-,-,1,,v India,Hamilton,31 Jan 2019,
KS Williamson (NZ),DNB,-,-,-,-,1,,v India,Hamilton,31 Jan 2019,
LRPL Taylor (NZ),DNB,-,-,-,-,1,,v India,Hamilton,31 Jan 2019,
TWM Latham (NZ),DNB,-,-,-,-,1,,v India,Hamilton,31 Jan 2019,
AT Rayudu (IND),DNB,-,-,-,-,2,,v New Zealand,Hamilton,31 Jan 2019,
KM Jadhav (IND),DNB,-,-,-,-,2,,v New Zealand,Hamilton,31 Jan 2019,
S Dhawan (IND),DNB,-,-,-,-,2,,v New Zealand,Hamilton,31 Jan 2019,
KD Karthik (IND),DNB,-,-,-,-,2,,v New Zealand,Hamilton,31 Jan 2019,
RG Sharma (IND),DNB,-,-,-,-,2,,v New Zealand,Hamilton,31 Jan 2019,
Shubman Gill (IND),DNB,-,-,-,-,2,,v New Zealand,Hamilton,31 Jan 2019,
KS Williamson (NZ),DNB,-,-,-,-,1,,v India,Wellington,3 Feb 2019,
LRPL Taylor (NZ),DNB,-,-,-,-,1,,v India,Wellington,3 Feb 2019,
TWM Latham (NZ),DNB,-,-,-,-,1,,v India,Wellington,3 Feb 2019,
HM Nicholls (NZ),DNB,-,-,-,-,1,,v India,Wellington,3 Feb 2019,
S Dhawan (IND),DNB,-,-,-,-,2,,v New Zealand,Wellington,3 Feb 2019,
MS Dhoni (IND),DNB,-,-,-,-,2,,v New Zealand,Wellington,3 Feb 2019,
RG Sharma (IND),DNB,-,-,-,-,2,,v New Zealand,Wellington,3 Feb 2019,
Shubman Gill (IND),DNB,-,-,-,-,2,,v New Zealand,Wellington,3 Feb 2019,
AT Rayudu (IND),DNB,-,-,-,-,2,,v New Zealand,Wellington,3 Feb 2019,
LRPL Taylor (NZ),DNB,-,-,-,-,1,,v Bangladesh,Napier,13 Feb 2019,
KS Williamson (NZ),DNB,-,-,-,-,1,,v Bangladesh,Napier,13 Feb 2019,
HM Nicholls (NZ),DNB,-,-,-,-,1,,v Bangladesh,Napier,13 Feb 2019,
TWM Latham (NZ),DNB,-,-,-,-,1,,v Bangladesh,Napier,13 Feb 2019,
MJ Guptill (NZ),DNB,-,-,-,-,1,,v Bangladesh,Napier,13 Feb 2019,
Tamim Iqbal (BAN),DNB,-,-,-,-,2,,v New Zealand,Napier,13 Feb 2019,
Litton Das (BAN),DNB,-,-,-,-,2,,v New Zealand,Napier,13 Feb 2019,
Mohammad Mithun (BAN),DNB,-,-,-,-,2,,v New Zealand,Napier,13 Feb 2019,
Mushfiqur Rahim (BAN),DNB,-,-,-,-,2,,v New Zealand,Napier,13 Feb 2019,
HM Nicholls (NZ),DNB,-,-,-,-,1,,v Bangladesh,Christchurch,16 Feb 2019,
KS Williamson (NZ),DNB,-,-,-,-,1,,v Bangladesh,Christchurch,16 Feb 2019,
LRPL Taylor (NZ),DNB,-,-,-,-,1,,v Bangladesh,Christchurch,16 Feb 2019,
TWM Latham (NZ),DNB,-,-,-,-,1,,v Bangladesh,Christchurch,16 Feb 2019,
MJ Guptill (NZ),DNB,-,-,-,-,1,,v Bangladesh,Christchurch,16 Feb 2019,
Mohammad Mithun (BAN),DNB,-,-,-,-,2,,v New Zealand,Christchurch,16 Feb 2019,
Mushfiqur Rahim (BAN),DNB,-,-,-,-,2,,v New Zealand,Christchurch,16 Feb 2019,
Tamim Iqbal (BAN),DNB,-,-,-,-,2,,v New Zealand,Christchurch,16 Feb 2019,
Litton Das (BAN),DNB,-,-,-,-,2,,v New Zealand,Christchurch,16 Feb 2019,
Soumya Sarkar (BAN),DNB,-,-,-,-,1,,v New Zealand,Dunedin,20 Feb 2019,
Tamim Iqbal (BAN),DNB,-,-,-,-,1,,v New Zealand,Dunedin,20 Feb 2019,
Litton Das (BAN),DNB,-,-,-,-,1,,v New Zealand,Dunedin,20 Feb 2019,
Sabbir Rahman (BAN),DNB,-,-,-,-,1,,v New Zealand,Dunedin,20 Feb 2019,
Mushfiqur Rahim (BAN),DNB,-,-,-,-,1,,v New Zealand,Dunedin,20 Feb 2019,
MJ Guptill (NZ),DNB,-,-,-,-,2,,v Bangladesh,Dunedin,20 Feb 2019,
LRPL Taylor (NZ),DNB,-,-,-,-,2,,v Bangladesh,Dunedin,20 Feb 2019,
TWM Latham (NZ),DNB,-,-,-,-,2,,v Bangladesh,Dunedin,20 Feb 2019,
C Munro (NZ),DNB,-,-,-,-,2,,v Bangladesh,Dunedin,20 Feb 2019,
HM Nicholls (NZ),DNB,-,-,-,-,2,,v Bangladesh,Dunedin,20 Feb 2019,
JM Bairstow (ENG),DNB,-,-,-,-,1,,v West Indies,Bridgetown,20 Feb 2019,
JC Buttler (ENG),DNB,-,-,-,-,1,,v West Indies,Bridgetown,20 Feb 2019,
JJ Roy (ENG),DNB,-,-,-,-,1,,v West Indies,Bridgetown,20 Feb 2019,
EJG Morgan (ENG),DNB,-,-,-,-,1,,v West Indies,Bridgetown,20 Feb 2019,
JE Root (ENG),DNB,-,-,-,-,1,,v West Indies,Bridgetown,20 Feb 2019,
JE Root (ENG),DNB,-,-,-,-,1,,v West Indies,Bridgetown,22 Feb 2019,
JM Bairstow (ENG),DNB,-,-,-,-,1,,v West Indies,Bridgetown,22 Feb 2019,
EJG Morgan (ENG),DNB,-,-,-,-,1,,v West Indies,Bridgetown,22 Feb 2019,
JC Buttler (ENG),DNB,-,-,-,-,1,,v West Indies,Bridgetown,22 Feb 2019,
JJ Roy (ENG),DNB,-,-,-,-,1,,v West Indies,Bridgetown,22 Feb 2019,
LE Plunkett (ENG),TDNB,-,-,-,-,-,,v West Indies,St George's,25 Feb 2019,
JJ Roy (ENG),TDNB,-,-,-,-,-,,v West Indies,St George's,25 Feb 2019,
AD Hales (ENG),TDNB,-,-,-,-,-,,v West Indies,St George's,25 Feb 2019,
AU Rashid (ENG),TDNB,-,-,-,-,-,,v West Indies,St George's,25 Feb 2019,
MA Wood (ENG),TDNB,-,-,-,-,-,,v West Indies,St George's,25 Feb 2019,
MM Ali (ENG),TDNB,-,-,-,-,-,,v West Indies,St George's,25 Feb 2019,
JE Root (ENG),TDNB,-,-,-,-,-,,v West Indies,St George's,25 Feb 2019,
JM Bairstow (ENG),TDNB,-,-,-,-,-,,v West Indies,St George's,25 Feb 2019,
CR Woakes (ENG),TDNB,-,-,-,-,-,,v West Indies,St George's,25 Feb 2019,
EJG Morgan (ENG),TDNB,-,-,-,-,-,,v West Indies,St George's,25 Feb 2019,
JC Buttler (ENG),TDNB,-,-,-,-,-,,v West Indies,St George's,25 Feb 2019,
AD Hales (ENG),DNB,-,-,-,-,2,,v West Indies,St George's,27 Feb 2019,
JC Buttler (ENG),DNB,-,-,-,-,2,,v West Indies,St George's,27 Feb 2019,
JM Bairstow (ENG),DNB,-,-,-,-,2,,v West Indies,St George's,27 Feb 2019,
EJG Morgan (ENG),DNB,-,-,-,-,2,,v West Indies,St George's,27 Feb 2019,
JE Root (ENG),DNB,-,-,-,-,2,,v West Indies,St George's,27 Feb 2019,
Asghar Afghan (AFG),DNB,-,-,-,-,1,,v Ireland,Dehradun,28 Feb 2019,
Hazratullah Zazai (AFG),DNB,-,-,-,-,1,,v Ireland,Dehradun,28 Feb 2019,
Najibullah Zadran (AFG),DNB,-,-,-,-,1,,v Ireland,Dehradun,28 Feb 2019,
Hashmatullah Shahidi (AFG),DNB,-,-,-,-,1,,v Ireland,Dehradun,28 Feb 2019,
Mohammad Shahzad (AFG),DNB,-,-,-,-,1,,v Ireland,Dehradun,28 Feb 2019,
Rahmat Shah (AFG),TDNB,-,-,-,-,-,,v Ireland,Dehradun,2 Mar 2019,
Hashmatullah Shahidi (AFG),TDNB,-,-,-,-,-,,v Ireland,Dehradun,2 Mar 2019,
Asghar Afghan (AFG),TDNB,-,-,-,-,-,,v Ireland,Dehradun,2 Mar 2019,
Ikram Alikhil (AFG),TDNB,-,-,-,-,-,,v Ireland,Dehradun,2 Mar 2019,
Mohammad Nabi (AFG),TDNB,-,-,-,-,-,,v Ireland,Dehradun,2 Mar 2019,
Hazratullah Zazai (AFG),TDNB,-,-,-,-,-,,v Ireland,Dehradun,2 Mar 2019,
Sayed Shirzad (AFG),TDNB,-,-,-,-,-,,v Ireland,Dehradun,2 Mar 2019,
Gulbadin Naib (AFG),TDNB,-,-,-,-,-,,v Ireland,Dehradun,2 Mar 2019,
Mujeeb Ur Rahman (AFG),TDNB,-,-,-,-,-,,v Ireland,Dehradun,2 Mar 2019,
Javed Ahmadi (AFG),TDNB,-,-,-,-,-,,v Ireland,Dehradun,2 Mar 2019,
Rashid Khan (AFG),TDNB,-,-,-,-,-,,v Ireland,Dehradun,2 Mar 2019,
MS Dhoni (IND),DNB,-,-,-,-,1,,v Australia,Hyderabad,2 Mar 2019,
V Kohli (IND),DNB,-,-,-,-,1,,v Australia,Hyderabad,2 Mar 2019,
RG Sharma (IND),DNB,-,-,-,-,1,,v Australia,Hyderabad,2 Mar 2019,
AT Rayudu (IND),DNB,-,-,-,-,1,,v Australia,Hyderabad,2 Mar 2019,
S Dhawan (IND),DNB,-,-,-,-,1,,v Australia,Hyderabad,2 Mar 2019,
AJ Finch (AUS),DNB,-,-,-,-,2,,v India,Hyderabad,2 Mar 2019,
PSP Handscomb (AUS),DNB,-,-,-,-,2,,v India,Hyderabad,2 Mar 2019,
GJ Maxwell (AUS),DNB,-,-,-,-,2,,v India,Hyderabad,2 Mar 2019,
AJ Turner (AUS),DNB,-,-,-,-,2,,v India,Hyderabad,2 Mar 2019,
UT Khawaja (AUS),DNB,-,-,-,-,2,,v India,Hyderabad,2 Mar 2019,
AT Carey (AUS),DNB,-,-,-,-,2,,v India,Hyderabad,2 Mar 2019,
JM Bairstow (ENG),DNB,-,-,-,-,2,,v West Indies,Gros Islet,2 Mar 2019,
EJG Morgan (ENG),DNB,-,-,-,-,2,,v West Indies,Gros Islet,2 Mar 2019,
BA Stokes (ENG),DNB,-,-,-,-,2,,v West Indies,Gros Islet,2 Mar 2019,
JE Root (ENG),DNB,-,-,-,-,2,,v West Indies,Gros Islet,2 Mar 2019,
AD Hales (ENG),DNB,-,-,-,-,2,,v West Indies,Gros Islet,2 Mar 2019,
AU Rashid (ENG),DNB,-,-,-,-,2,,v West Indies,Gros Islet,2 Mar 2019,
MM Ali (ENG),DNB,-,-,-,-,2,,v West Indies,Gros Islet,2 Mar 2019,
JC Buttler (ENG),DNB,-,-,-,-,2,,v West Indies,Gros Islet,2 Mar 2019,
DA Miller (SA),DNB,-,-,-,-,1,,v Sri Lanka,Johannesburg,3 Mar 2019,
F du Plessis (SA),DNB,-,-,-,-,1,,v Sri Lanka,Johannesburg,3 Mar 2019,
Q de Kock (SA),DNB,-,-,-,-,1,,v Sri Lanka,Johannesburg,3 Mar 2019,
RR Hendricks (SA),DNB,-,-,-,-,1,,v Sri Lanka,Johannesburg,3 Mar 2019,
HE van der Dussen (SA),DNB,-,-,-,-,1,,v Sri Lanka,Johannesburg,3 Mar 2019,
Hazratullah Zazai (AFG),DNB,-,-,-,-,2,,v Ireland,Dehradun,5 Mar 2019,
Najibullah Zadran (AFG),DNB,-,-,-,-,2,,v Ireland,Dehradun,5 Mar 2019,
Hashmatullah Shahidi (AFG),DNB,-,-,-,-,2,,v Ireland,Dehradun,5 Mar 2019,
Asghar Afghan (AFG),DNB,-,-,-,-,2,,v Ireland,Dehradun,5 Mar 2019,
Rahmat Shah (AFG),DNB,-,-,-,-,2,,v Ireland,Dehradun,5 Mar 2019,
Mohammad Shahzad (AFG),DNB,-,-,-,-,2,,v Ireland,Dehradun,5 Mar 2019,
UT Khawaja (AUS),DNB,-,-,-,-,1,,v India,Nagpur,5 Mar 2019,
SE Marsh (AUS),DNB,-,-,-,-,1,,v India,Nagpur,5 Mar 2019,
AT Carey (AUS),DNB,-,-,-,-,1,,v India,Nagpur,5 Mar 2019,
AJ Finch (AUS),DNB,-,-,-,-,1,,v India,Nagpur,5 Mar 2019,
PSP Handscomb (AUS),DNB,-,-,-,-,1,,v India,Nagpur,5 Mar 2019,
S Dhawan (IND),DNB,-,-,-,-,2,,v Australia,Nagpur,5 Mar 2019,
MS Dhoni (IND),DNB,-,-,-,-,2,,v Australia,Nagpur,5 Mar 2019,
V Kohli (IND),DNB,-,-,-,-,2,,v Australia,Nagpur,5 Mar 2019,
RG Sharma (IND),DNB,-,-,-,-,2,,v Australia,Nagpur,5 Mar 2019,
AT Rayudu (IND),DNB,-,-,-,-,2,,v Australia,Nagpur,5 Mar 2019,
AL Phehlukwayo (SA),DNB,-,-,-,-,2,,v Sri Lanka,Centurion,6 Mar 2019,
Q de Kock (SA),DNB,-,-,-,-,2,,v Sri Lanka,Centurion,6 Mar 2019,
DA Miller (SA),DNB,-,-,-,-,2,,v Sri Lanka,Centurion,6 Mar 2019,
F du Plessis (SA),DNB,-,-,-,-,2,,v Sri Lanka,Centurion,6 Mar 2019,
HE van der Dussen (SA),DNB,-,-,-,-,2,,v Sri Lanka,Centurion,6 Mar 2019,
RR Hendricks (SA),DNB,-,-,-,-,2,,v Sri Lanka,Centurion,6 Mar 2019,
Asghar Afghan (AFG),DNB,-,-,-,-,2,,v Ireland,Dehradun,8 Mar 2019,
Noor Ali Zadran (AFG),DNB,-,-,-,-,2,,v Ireland,Dehradun,8 Mar 2019,
Ikram Alikhil (AFG),DNB,-,-,-,-,2,,v Ireland,Dehradun,8 Mar 2019,
Hazratullah Zazai (AFG),DNB,-,-,-,-,2,,v Ireland,Dehradun,8 Mar 2019,
Najibullah Zadran (AFG),DNB,-,-,-,-,2,,v Ireland,Dehradun,8 Mar 2019,
Rahmat Shah (AFG),DNB,-,-,-,-,2,,v Ireland,Dehradun,8 Mar 2019,
V Kohli (IND),DNB,-,-,-,-,1,,v Australia,Ranchi,8 Mar 2019,
RG Sharma (IND),DNB,-,-,-,-,1,,v Australia,Ranchi,8 Mar 2019,
AT Rayudu (IND),DNB,-,-,-,-,1,,v Australia,Ranchi,8 Mar 2019,
S Dhawan (IND),DNB,-,-,-,-,1,,v Australia,Ranchi,8 Mar 2019,
MS Dhoni (IND),DNB,-,-,-,-,1,,v Australia,Ranchi,8 Mar 2019,
SE Marsh (AUS),DNB,-,-,-,-,2,,v India,Ranchi,8 Mar 2019,
PSP Handscomb (AUS),DNB,-,-,-,-,2,,v India,Ranchi,8 Mar 2019,
AJ Finch (AUS),DNB,-,-,-,-,2,,v India,Ranchi,8 Mar 2019,
AT Carey (AUS),DNB,-,-,-,-,2,,v India,Ranchi,8 Mar 2019,
UT Khawaja (AUS),DNB,-,-,-,-,2,,v India,Ranchi,8 Mar 2019,
Javed Ahmadi (AFG),DNB,-,-,-,-,2,,v Ireland,Dehradun,10 Mar 2019,
Najibullah Zadran (AFG),DNB,-,-,-,-,2,,v Ireland,Dehradun,10 Mar 2019,
Asghar Afghan (AFG),DNB,-,-,-,-,2,,v Ireland,Dehradun,10 Mar 2019,
Samiullah Shinwari (AFG),DNB,-,-,-,-,2,,v Ireland,Dehradun,10 Mar 2019,
Rahmat Shah (AFG),DNB,-,-,-,-,2,,v Ireland,Dehradun,10 Mar 2019,
Mohammad Shahzad (AFG),DNB,-,-,-,-,2,,v Ireland,Dehradun,10 Mar 2019,
PSP Handscomb (AUS),DNB,-,-,-,-,1,,v India,Mohali,10 Mar 2019,
UT Khawaja (AUS),DNB,-,-,-,-,1,,v India,Mohali,10 Mar 2019,
AJ Turner (AUS),DNB,-,-,-,-,1,,v India,Mohali,10 Mar 2019,
SE Marsh (AUS),DNB,-,-,-,-,1,,v India,Mohali,10 Mar 2019,
AT Carey (AUS),DNB,-,-,-,-,1,,v India,Mohali,10 Mar 2019,
V Kohli (IND),DNB,-,-,-,-,2,,v Australia,Mohali,10 Mar 2019,
S Dhawan (IND),DNB,-,-,-,-,2,,v Australia,Mohali,10 Mar 2019,
KL Rahul (IND),DNB,-,-,-,-,2,,v Australia,Mohali,10 Mar 2019,
RR Pant (IND),DNB,-,-,-,-,2,,v Australia,Mohali,10 Mar 2019,
RG Sharma (IND),DNB,-,-,-,-,2,,v Australia,Mohali,10 Mar 2019,
RR Hendricks (SA),DNB,-,-,-,-,2,,v Sri Lanka,Durban,10 Mar 2019,
HE van der Dussen (SA),DNB,-,-,-,-,2,,v Sri Lanka,Durban,10 Mar 2019,
DA Miller (SA),DNB,-,-,-,-,2,,v Sri Lanka,Durban,10 Mar 2019,
F du Plessis (SA),DNB,-,-,-,-,2,,v Sri Lanka,Durban,10 Mar 2019,
Q de Kock (SA),DNB,-,-,-,-,2,,v Sri Lanka,Durban,10 Mar 2019,
V Kohli (IND),DNB,-,-,-,-,1,,v Australia,Delhi,13 Mar 2019,
RR Pant (IND),DNB,-,-,-,-,1,,v Australia,Delhi,13 Mar 2019,
RG Sharma (IND),DNB,-,-,-,-,1,,v Australia,Delhi,13 Mar 2019,
V Shankar (IND),DNB,-,-,-,-,1,,v Australia,Delhi,13 Mar 2019,
S Dhawan (IND),DNB,-,-,-,-,1,,v Australia,Delhi,13 Mar 2019,
AT Carey (AUS),DNB,-,-,-,-,2,,v India,Delhi,13 Mar 2019,
UT Khawaja (AUS),DNB,-,-,-,-,2,,v India,Delhi,13 Mar 2019,
PSP Handscomb (AUS),DNB,-,-,-,-,2,,v India,Delhi,13 Mar 2019,
AJ Turner (AUS),DNB,-,-,-,-,2,,v India,Delhi,13 Mar 2019,
AJ Finch (AUS),DNB,-,-,-,-,2,,v India,Delhi,13 Mar 2019,
F du Plessis (SA),DNB,-,-,-,-,1,,v Sri Lanka,Gqeberha,13 Mar 2019,
DA Miller (SA),DNB,-,-,-,-,1,,v Sri Lanka,Gqeberha,13 Mar 2019,
Q de Kock (SA),DNB,-,-,-,-,1,,v Sri Lanka,Gqeberha,13 Mar 2019,
RR Hendricks (SA),DNB,-,-,-,-,1,,v Sri Lanka,Gqeberha,13 Mar 2019,
AK Markram (SA),DNB,-,-,-,-,1,,v Sri Lanka,Gqeberha,13 Mar 2019,
HE van der Dussen (SA),DNB,-,-,-,-,1,,v Sri Lanka,Cape Town,16 Mar 2019,
F du Plessis (SA),DNB,-,-,-,-,1,,v Sri Lanka,Cape Town,16 Mar 2019,
Q de Kock (SA),DNB,-,-,-,-,1,,v Sri Lanka,Cape Town,16 Mar 2019,
