Player,Runs,Mins,BF,4s,6s,SR,Inns,,Opposition,Ground,Start Date,
Imam-ul-Haq (PAK),128,188,134,11,0,95.52,1,,v Zimbabwe,Bulawayo,13 Jul 2018,
JM Bairstow (ENG),128,135,93,15,5,137.63,2,,v Pakistan,Bristol,14 May 2019,
Soumya Sarkar (BAN),127*,182,110,13,6,115.45,2,,v Pakistan,Mirpur,22 Apr 2015,
MG Bracewell (NZ),127*,119,82,10,7,154.87,2,,v Ireland,Dublin (Malahide),10 Jul 2022,
HM Amla (SA),127,187,130,13,2,97.69,2,,v England,Centurion,9 Feb 2016,
Tamim Iqbal (BAN),127,-,142,15,1,89.43,1,,v Sri Lanka,Dambulla,25 Mar 2017,
S Dhawan (IND),127,-,120,15,2,105.83,1,,v Hong Kong,Dubai (DICS),18 Sep 2018,
Rahmanullah Gurbaz (AFG),127,154,127,8,9,100.00,1,,v Ireland,Abu Dhabi,21 Jan 2021,
DJ Malan (ENG),127,177,114,14,3,111.40,1,,v New Zealand,Lord's,15 Sep 2023,
Litton Das (BAN),126*,-,105,13,2,120.00,1,,v Zimbabwe,Sylhet,1 Mar 2020,
Fakhar Zaman (PAK),126*,103,81,8,11,155.55,2,,v New Zealand,Bengaluru,4 Nov 2023,
S Dhawan (IND),126,154,113,14,2,111.50,2,,v Australia,Canberra,20 Jan 2016,
DP Conway (NZ),126,172,110,17,0,114.54,1,,v Bangladesh,Wellington,26 Mar 2021,
Babar Azam (PAK),125*,-,132,7,3,94.69,1,,v West Indies,Providence,9 Apr 2017,
RR Pant (IND),125*,159,113,16,2,110.61,2,,v England,Manchester,17 Jul 2022,
JE Root (ENG),125,165,113,10,5,110.61,1,,v South Africa,Centurion,9 Feb 2016,
S Dhawan (IND),125,198,128,15,1,97.65,1,,v Sri Lanka,The Oval,8 Jun 2017,
RG Sharma (IND),125,165,109,11,5,114.67,2,,v Australia,Nagpur,1 Oct 2017,
F du Plessis (SA),125,-,114,15,2,109.64,1,,v Australia,Hobart,11 Nov 2018,
Babar Azam (PAK),125,201,125,13,1,100.00,2,,v Zimbabwe,Rawalpindi,3 Nov 2020,
Mushfiqur Rahim (BAN),125,205,127,10,0,98.42,1,,v Sri Lanka,Mirpur,25 May 2021,
DJ Malan (ENG),125,206,109,9,3,114.67,1,,v Netherlands,Amstelveen,17 Jun 2022,
AT Rayudu (IND),124*,199,133,12,1,93.23,1,,v Zimbabwe,Harare,10 Jul 2015,
