Player,Runs,Mins,BF,4s,6s,SR,Inns,,Opposition,Ground,Start Date,
M Prasidh Krishna (IND),DNB,-,-,-,-,-,2,,v England,Manchester,17 Jul 2022,
YS Chahal (IND),DNB,-,-,-,-,-,2,,v England,Manchester,17 Jul 2022,
Mohammed Siraj (IND),DNB,-,-,-,-,-,2,,v England,Manchester,17 Jul 2022,
KA Maharaj (SA),DNB,-,-,-,-,-,1,,v England,Chester-le-Street,19 Jul 2022,
L Ngidi (SA),DNB,-,-,-,-,-,1,,v England,Chester-le-Street,19 Jul 2022,
D Pretorius (SA),sub,-,-,-,-,-,1,,v England,Chester-le-Street,19 Jul 2022,
T Shamsi (SA),DNB,-,-,-,-,-,1,,v England,Chester-le-Street,19 Jul 2022,
A Nortje (SA),DNB,-,-,-,-,-,1,,v England,Chester-le-Street,19 Jul 2022,
YS Chahal (IND),DNB,-,-,-,-,-,1,,v West Indies,Port of Spain,22 Jul 2022,
M Prasidh Krishna (IND),DNB,-,-,-,-,-,1,,v West Indies,Port of Spain,22 Jul 2022,
MM Ali (ENG),TDNB,-,-,-,-,-,-,,v South Africa,Leeds,24 Jul 2022,
JJ Roy (ENG),TDNB,-,-,-,-,-,-,,v South Africa,Leeds,24 Jul 2022,
JC Buttler (ENG),TDNB,-,-,-,-,-,-,,v South Africa,Leeds,24 Jul 2022,
SM Curran (ENG),TDNB,-,-,-,-,-,-,,v South Africa,Leeds,24 Jul 2022,
JM Bairstow (ENG),TDNB,-,-,-,-,-,-,,v South Africa,Leeds,24 Jul 2022,
DJ Willey (ENG),TDNB,-,-,-,-,-,-,,v South Africa,Leeds,24 Jul 2022,
RJW Topley (ENG),TDNB,-,-,-,-,-,-,,v South Africa,Leeds,24 Jul 2022,
AU Rashid (ENG),TDNB,-,-,-,-,-,-,,v South Africa,Leeds,24 Jul 2022,
JE Root (ENG),TDNB,-,-,-,-,-,-,,v South Africa,Leeds,24 Jul 2022,
LS Livingstone (ENG),TDNB,-,-,-,-,-,-,,v South Africa,Leeds,24 Jul 2022,
PD Salt (ENG),TDNB,-,-,-,-,-,-,,v South Africa,Leeds,24 Jul 2022,
T Shamsi (SA),DNB,-,-,-,-,-,1,,v England,Leeds,24 Jul 2022,
L Ngidi (SA),DNB,-,-,-,-,-,1,,v England,Leeds,24 Jul 2022,
DA Miller (SA),DNB,-,-,-,-,-,1,,v England,Leeds,24 Jul 2022,
A Nortje (SA),DNB,-,-,-,-,-,1,,v England,Leeds,24 Jul 2022,
KA Maharaj (SA),DNB,-,-,-,-,-,1,,v England,Leeds,24 Jul 2022,
H Klaasen (SA),DNB,-,-,-,-,-,1,,v England,Leeds,24 Jul 2022,
D Pretorius (SA),DNB,-,-,-,-,-,1,,v England,Leeds,24 Jul 2022,
YS Chahal (IND),DNB,-,-,-,-,-,2,,v West Indies,Port of Spain,24 Jul 2022,
YS Chahal (IND),DNB,-,-,-,-,-,1,,v West Indies,Port of Spain,27 Jul 2022,
Mohammed Siraj (IND),DNB,-,-,-,-,-,1,,v West Indies,Port of Spain,27 Jul 2022,
DJ Hooda (IND),DNB,-,-,-,-,-,1,,v West Indies,Port of Spain,27 Jul 2022,
M Prasidh Krishna (IND),DNB,-,-,-,-,-,1,,v West Indies,Port of Spain,27 Jul 2022,
SN Thakur (IND),DNB,-,-,-,-,-,1,,v West Indies,Port of Spain,27 Jul 2022,
AR Patel (IND),DNB,-,-,-,-,-,1,,v West Indies,Port of Spain,27 Jul 2022,
GD Phillips (NZ),DNB,-,-,-,-,-,2,,v Scotland,Edinburgh,31 Jul 2022,
MG Bracewell (NZ),DNB,-,-,-,-,-,2,,v Scotland,Edinburgh,31 Jul 2022,
JA Duffy (NZ),DNB,-,-,-,-,-,2,,v Scotland,Edinburgh,31 Jul 2022,
MJ Santner (NZ),DNB,-,-,-,-,-,2,,v Scotland,Edinburgh,31 Jul 2022,
BM Tickner (NZ),DNB,-,-,-,-,-,2,,v Scotland,Edinburgh,31 Jul 2022,
LH Ferguson (NZ),DNB,-,-,-,-,-,2,,v Scotland,Edinburgh,31 Jul 2022,
Mustafizur Rahman (BAN),DNB,-,-,-,-,-,1,,v Zimbabwe,Harare,5 Aug 2022,
Taskin Ahmed (BAN),DNB,-,-,-,-,-,1,,v Zimbabwe,Harare,5 Aug 2022,
Afif Hossain (BAN),DNB,-,-,-,-,-,1,,v Zimbabwe,Harare,5 Aug 2022,
Mehidy Hasan Miraz (BAN),DNB,-,-,-,-,-,1,,v Zimbabwe,Harare,5 Aug 2022,
Mosaddek Hossain (BAN),DNB,-,-,-,-,-,1,,v Zimbabwe,Harare,5 Aug 2022,
Shoriful Islam (BAN),DNB,-,-,-,-,-,1,,v Zimbabwe,Harare,5 Aug 2022,
Hasan Mahmud (BAN),DNB,-,-,-,-,-,1,,v Zimbabwe,Harare,7 Aug 2022,
Naseem Shah (PAK),DNB,-,-,-,-,-,1,,v Netherlands,Rotterdam,16 Aug 2022,
Mohammad Wasim (1) (PAK),DNB,-,-,-,-,-,1,,v Netherlands,Rotterdam,16 Aug 2022,
Haris Rauf (PAK),DNB,-,-,-,-,-,1,,v Netherlands,Rotterdam,16 Aug 2022,
Kuldeep Yadav (IND),DNB,-,-,-,-,-,2,,v Zimbabwe,Harare,18 Aug 2022,
Mohammed Siraj (IND),DNB,-,-,-,-,-,2,,v Zimbabwe,Harare,18 Aug 2022,
SV Samson (IND),DNB,-,-,-,-,-,2,,v Zimbabwe,Harare,18 Aug 2022,
AR Patel (IND),DNB,-,-,-,-,-,2,,v Zimbabwe,Harare,18 Aug 2022,
M Prasidh Krishna (IND),DNB,-,-,-,-,-,2,,v Zimbabwe,Harare,18 Aug 2022,
KL Rahul (IND),DNB,-,-,-,-,-,2,,v Zimbabwe,Harare,18 Aug 2022,
DJ Hooda (IND),DNB,-,-,-,-,-,2,,v Zimbabwe,Harare,18 Aug 2022,
Ishan Kishan (IND),DNB,-,-,-,-,-,2,,v Zimbabwe,Harare,18 Aug 2022,
DL Chahar (IND),DNB,-,-,-,-,-,2,,v Zimbabwe,Harare,18 Aug 2022,
Shadab Khan (PAK),DNB,-,-,-,-,-,2,,v Netherlands,Rotterdam,18 Aug 2022,
Mohammad Wasim (1) (PAK),DNB,-,-,-,-,-,2,,v Netherlands,Rotterdam,18 Aug 2022,
Khushdil Shah (PAK),DNB,-,-,-,-,-,2,,v Netherlands,Rotterdam,18 Aug 2022,
Haris Rauf (PAK),DNB,-,-,-,-,-,2,,v Netherlands,Rotterdam,18 Aug 2022,
Mohammad Nawaz (3) (PAK),DNB,-,-,-,-,-,2,,v Netherlands,Rotterdam,18 Aug 2022,
Naseem Shah (PAK),DNB,-,-,-,-,-,2,,v Netherlands,Rotterdam,18 Aug 2022,
M Prasidh Krishna (IND),DNB,-,-,-,-,-,2,,v Zimbabwe,Harare,20 Aug 2022,
SN Thakur (IND),DNB,-,-,-,-,-,2,,v Zimbabwe,Harare,20 Aug 2022,
Kuldeep Yadav (IND),DNB,-,-,-,-,-,2,,v Zimbabwe,Harare,20 Aug 2022,
Mohammed Siraj (IND),DNB,-,-,-,-,-,2,,v Zimbabwe,Harare,20 Aug 2022,
TA Boult (NZ),DNB,-,-,-,-,-,2,,v West Indies,Bridgetown,21 Aug 2022,
MJ Santner (NZ),DNB,-,-,-,-,-,2,,v West Indies,Bridgetown,21 Aug 2022,
LH Ferguson (NZ),DNB,-,-,-,-,-,2,,v West Indies,Bridgetown,21 Aug 2022,
TG Southee (NZ),DNB,-,-,-,-,-,2,,v West Indies,Bridgetown,21 Aug 2022,
Avesh Khan (IND),DNB,-,-,-,-,-,1,,v Zimbabwe,Harare,22 Aug 2022,
A Zampa (AUS),DNB,-,-,-,-,-,2,,v Zimbabwe,Townsville,28 Aug 2022,
MA Starc (AUS),DNB,-,-,-,-,-,2,,v Zimbabwe,Townsville,28 Aug 2022,
JR Hazlewood (AUS),DNB,-,-,-,-,-,2,,v Zimbabwe,Townsville,28 Aug 2022,
C Green (AUS),DNB,-,-,-,-,-,2,,v Zimbabwe,Townsville,28 Aug 2022,
MP Stoinis (AUS),DNB,-,-,-,-,-,2,,v Zimbabwe,Townsville,31 Aug 2022,
A Zampa (AUS),DNB,-,-,-,-,-,2,,v Zimbabwe,Townsville,31 Aug 2022,
MA Starc (AUS),DNB,-,-,-,-,-,2,,v Zimbabwe,Townsville,31 Aug 2022,
C Green (AUS),DNB,-,-,-,-,-,2,,v Zimbabwe,Townsville,31 Aug 2022,
JR Hazlewood (AUS),DNB,-,-,-,-,-,2,,v Zimbabwe,Townsville,31 Aug 2022,
GJ Maxwell (AUS),DNB,-,-,-,-,-,2,,v Zimbabwe,Townsville,31 Aug 2022,
AC Agar (AUS),DNB,-,-,-,-,-,2,,v Zimbabwe,Townsville,31 Aug 2022,
JR Hazlewood (AUS),DNB,-,-,-,-,-,2,,v New Zealand,Cairns,6 Sep 2022,
MA Starc (AUS),DNB,-,-,-,-,-,1,,v New Zealand,Cairns,11 Sep 2022,
A Zampa (AUS),DNB,-,-,-,-,-,1,,v New Zealand,Cairns,11 Sep 2022,
JR Hazlewood (AUS),DNB,-,-,-,-,-,1,,v New Zealand,Cairns,11 Sep 2022,
SA Abbott (AUS),DNB,-,-,-,-,-,1,,v New Zealand,Cairns,11 Sep 2022,
WD Parnell (SA),DNB,-,-,-,-,-,1,,v India,Lucknow,6 Oct 2022,
T Shamsi (SA),DNB,-,-,-,-,-,1,,v India,Lucknow,6 Oct 2022,
K Rabada (SA),DNB,-,-,-,-,-,1,,v India,Lucknow,6 Oct 2022,
KA Maharaj (SA),DNB,-,-,-,-,-,1,,v India,Lucknow,6 Oct 2022,
L Ngidi (SA),DNB,-,-,-,-,-,1,,v India,Lucknow,6 Oct 2022,
Mohammed Siraj (IND),DNB,-,-,-,-,-,2,,v South Africa,Lucknow,6 Oct 2022,
K Rabada (SA),DNB,-,-,-,-,-,1,,v India,Ranchi,9 Oct 2022,
A Nortje (SA),DNB,-,-,-,-,-,1,,v India,Ranchi,9 Oct 2022,
Kuldeep Yadav (IND),DNB,-,-,-,-,-,2,,v South Africa,Ranchi,9 Oct 2022,
Washington Sundar (IND),DNB,-,-,-,-,-,2,,v South Africa,Ranchi,9 Oct 2022,
SN Thakur (IND),DNB,-,-,-,-,-,2,,v South Africa,Ranchi,9 Oct 2022,
Avesh Khan (IND),DNB,-,-,-,-,-,2,,v South Africa,Ranchi,9 Oct 2022,
Mohammed Siraj (IND),DNB,-,-,-,-,-,2,,v South Africa,Ranchi,9 Oct 2022,
Shahbaz Ahmed (IND),DNB,-,-,-,-,-,2,,v South Africa,Ranchi,9 Oct 2022,
Shahbaz Ahmed (IND),DNB,-,-,-,-,-,2,,v South Africa,Delhi,11 Oct 2022,
Kuldeep Yadav (IND),DNB,-,-,-,-,-,2,,v South Africa,Delhi,11 Oct 2022,
Washington Sundar (IND),DNB,-,-,-,-,-,2,,v South Africa,Delhi,11 Oct 2022,
SN Thakur (IND),DNB,-,-,-,-,-,2,,v South Africa,Delhi,11 Oct 2022,
Avesh Khan (IND),DNB,-,-,-,-,-,2,,v South Africa,Delhi,11 Oct 2022,
Mohammed Siraj (IND),DNB,-,-,-,-,-,2,,v South Africa,Delhi,11 Oct 2022,
AC Agar (AUS),DNB,-,-,-,-,-,2,,v England,Adelaide,17 Nov 2022,
MP Stoinis (AUS),DNB,-,-,-,-,-,2,,v England,Adelaide,17 Nov 2022,
PJ Cummins (AUS),DNB,-,-,-,-,-,2,,v England,Adelaide,17 Nov 2022,
MA Starc (AUS),DNB,-,-,-,-,-,2,,v England,Adelaide,17 Nov 2022,
A Zampa (AUS),DNB,-,-,-,-,-,2,,v England,Adelaide,17 Nov 2022,
JR Hazlewood (AUS),DNB,-,-,-,-,-,1,,v England,Sydney,19 Nov 2022,
SA Abbott (AUS),DNB,-,-,-,-,-,1,,v England,Melbourne,22 Nov 2022,
JR Hazlewood (AUS),DNB,-,-,-,-,-,1,,v England,Melbourne,22 Nov 2022,
A Zampa (AUS),DNB,-,-,-,-,-,1,,v England,Melbourne,22 Nov 2022,
PJ Cummins (AUS),DNB,-,-,-,-,-,1,,v England,Melbourne,22 Nov 2022,
PD Salt (ENG),sub,-,-,-,-,-,2,,v Australia,Melbourne,22 Nov 2022,
Umran Malik (IND),DNB,-,-,-,-,-,1,,v New Zealand,Auckland,25 Nov 2022,
YS Chahal (IND),DNB,-,-,-,-,-,1,,v New Zealand,Auckland,25 Nov 2022,
Arshdeep Singh (IND),DNB,-,-,-,-,-,1,,v New Zealand,Auckland,25 Nov 2022,
GD Phillips (NZ),DNB,-,-,-,-,-,2,,v India,Auckland,25 Nov 2022,
AF Milne (NZ),DNB,-,-,-,-,-,2,,v India,Auckland,25 Nov 2022,
MJ Henry (NZ),DNB,-,-,-,-,-,2,,v India,Auckland,25 Nov 2022,
MJ Santner (NZ),DNB,-,-,-,-,-,2,,v India,Auckland,25 Nov 2022,
TG Southee (NZ),DNB,-,-,-,-,-,2,,v India,Auckland,25 Nov 2022,
LH Ferguson (NZ),DNB,-,-,-,-,-,2,,v India,Auckland,25 Nov 2022,
Fazalhaq Farooqi (AFG),DNB,-,-,-,-,-,1,,v Sri Lanka,Pallekele,25 Nov 2022,
MG Bracewell (NZ),TDNB,-,-,-,-,-,-,,v India,Hamilton,27 Nov 2022,
TWM Latham (NZ),TDNB,-,-,-,-,-,-,,v India,Hamilton,27 Nov 2022,
MJ Henry (NZ),TDNB,-,-,-,-,-,-,,v India,Hamilton,27 Nov 2022,
KS Williamson (NZ),TDNB,-,-,-,-,-,-,,v India,Hamilton,27 Nov 2022,
DJ Mitchell (NZ),TDNB,-,-,-,-,-,-,,v India,Hamilton,27 Nov 2022,
MJ Santner (NZ),TDNB,-,-,-,-,-,-,,v India,Hamilton,27 Nov 2022,
FH Allen (NZ),TDNB,-,-,-,-,-,-,,v India,Hamilton,27 Nov 2022,
TG Southee (NZ),TDNB,-,-,-,-,-,-,,v India,Hamilton,27 Nov 2022,
DP Conway (NZ),TDNB,-,-,-,-,-,-,,v India,Hamilton,27 Nov 2022,
LH Ferguson (NZ),TDNB,-,-,-,-,-,-,,v India,Hamilton,27 Nov 2022,
GD Phillips (NZ),TDNB,-,-,-,-,-,-,,v India,Hamilton,27 Nov 2022,
YS Chahal (IND),DNB,-,-,-,-,-,1,,v New Zealand,Hamilton,27 Nov 2022,
DJ Hooda (IND),DNB,-,-,-,-,-,1,,v New Zealand,Hamilton,27 Nov 2022,
RR Pant (IND),DNB,-,-,-,-,-,1,,v New Zealand,Hamilton,27 Nov 2022,
Umran Malik (IND),DNB,-,-,-,-,-,1,,v New Zealand,Hamilton,27 Nov 2022,
DL Chahar (IND),DNB,-,-,-,-,-,1,,v New Zealand,Hamilton,27 Nov 2022,
Washington Sundar (IND),DNB,-,-,-,-,-,1,,v New Zealand,Hamilton,27 Nov 2022,
Arshdeep Singh (IND),DNB,-,-,-,-,-,1,,v New Zealand,Hamilton,27 Nov 2022,
SS Iyer (IND),DNB,-,-,-,-,-,1,,v New Zealand,Hamilton,27 Nov 2022,
TWM Latham (NZ),DNB,-,-,-,-,-,2,,v India,Christchurch,30 Nov 2022,
MJ Santner (NZ),DNB,-,-,-,-,-,2,,v India,Christchurch,30 Nov 2022,
TG Southee (NZ),DNB,-,-,-,-,-,2,,v India,Christchurch,30 Nov 2022,
DJ Mitchell (NZ),DNB,-,-,-,-,-,2,,v India,Christchurch,30 Nov 2022,
LH Ferguson (NZ),DNB,-,-,-,-,-,2,,v India,Christchurch,30 Nov 2022,
GD Phillips (NZ),DNB,-,-,-,-,-,2,,v India,Christchurch,30 Nov 2022,
AF Milne (NZ),DNB,-,-,-,-,-,2,,v India,Christchurch,30 Nov 2022,
MJ Henry (NZ),DNB,-,-,-,-,-,2,,v India,Christchurch,30 Nov 2022,
Mujeeb Ur Rahman (AFG),DNB,-,-,-,-,-,1,,v Sri Lanka,Pallekele,30 Nov 2022,
Fazalhaq Farooqi (AFG),DNB,-,-,-,-,-,1,,v Sri Lanka,Pallekele,30 Nov 2022,
Ebadot Hossain (BAN),DNB,-,-,-,-,-,1,,v India,Mirpur,7 Dec 2022,
Mustafizur Rahman (BAN),DNB,-,-,-,-,-,1,,v India,Mirpur,7 Dec 2022,
Umran Malik (IND),DNB,-,-,-,-,-,1,,v Bangladesh,Chattogram,10 Dec 2022,
Usama Mir (PAK),DNB,-,-,-,-,-,2,,v New Zealand,Karachi,9 Jan 2023,
Mohammad Wasim (1) (PAK),DNB,-,-,-,-,-,2,,v New Zealand,Karachi,9 Jan 2023,
Mohammad Nawaz (3) (PAK),DNB,-,-,-,-,-,2,,v New Zealand,Karachi,9 Jan 2023,
Haris Rauf (PAK),DNB,-,-,-,-,-,2,,v New Zealand,Karachi,9 Jan 2023,
Naseem Shah (PAK),DNB,-,-,-,-,-,2,,v New Zealand,Karachi,9 Jan 2023,
Umran Malik (IND),DNB,-,-,-,-,-,1,,v Sri Lanka,Guwahati,10 Jan 2023,
YS Chahal (IND),DNB,-,-,-,-,-,1,,v Sri Lanka,Guwahati,10 Jan 2023,
Mohammed Siraj (IND),DNB,-,-,-,-,-,2,,v Sri Lanka,Eden Gardens,12 Jan 2023,
Umran Malik (IND),DNB,-,-,-,-,-,2,,v Sri Lanka,Eden Gardens,12 Jan 2023,
Mohammed Shami (IND),DNB,-,-,-,-,-,2,,v Sri Lanka,Eden Gardens,12 Jan 2023,
Kamran Ghulam (PAK),sub,-,-,-,-,-,1,,v New Zealand,Karachi,13 Jan 2023,
LH Ferguson (NZ),DNB,-,-,-,-,-,2,,v Pakistan,Karachi,13 Jan 2023,
Kuldeep Yadav (IND),DNB,-,-,-,-,-,1,,v Sri Lanka,Thiruvananthapuram,15 Jan 2023,
Mohammed Siraj (IND),DNB,-,-,-,-,-,1,,v Sri Lanka,Thiruvananthapuram,15 Jan 2023,
Washington Sundar (IND),DNB,-,-,-,-,-,1,,v Sri Lanka,Thiruvananthapuram,15 Jan 2023,
Mohammed Shami (IND),DNB,-,-,-,-,-,1,,v Sri Lanka,Thiruvananthapuram,15 Jan 2023,
Mohammed Siraj (IND),DNB,-,-,-,-,-,1,,v New Zealand,Hyderabad,18 Jan 2023,
Mohammed Shami (IND),DNB,-,-,-,-,-,2,,v New Zealand,Raipur,21 Jan 2023,
Washington Sundar (IND),DNB,-,-,-,-,-,2,,v New Zealand,Raipur,21 Jan 2023,
SN Thakur (IND),DNB,-,-,-,-,-,2,,v New Zealand,Raipur,21 Jan 2023,
HH Pandya (IND),DNB,-,-,-,-,-,2,,v New Zealand,Raipur,21 Jan 2023,
Mohammed Siraj (IND),DNB,-,-,-,-,-,2,,v New Zealand,Raipur,21 Jan 2023,
SA Yadav (IND),DNB,-,-,-,-,-,2,,v New Zealand,Raipur,21 Jan 2023,
Kuldeep Yadav (IND),DNB,-,-,-,-,-,2,,v New Zealand,Raipur,21 Jan 2023,
YS Chahal (IND),DNB,-,-,-,-,-,1,,v New Zealand,Indore,24 Jan 2023,
T Shamsi (SA),DNB,-,-,-,-,-,1,,v England,Bloemfontein,27 Jan 2023,
A Nortje (SA),DNB,-,-,-,-,-,1,,v England,Bloemfontein,27 Jan 2023,
RJW Topley (ENG),DNB,-,-,-,-,-,1,,v South Africa,Bloemfontein,29 Jan 2023,
OP Stone (ENG),DNB,-,-,-,-,-,1,,v South Africa,Bloemfontein,29 Jan 2023,
L Ngidi (SA),DNB,-,-,-,-,-,2,,v England,Bloemfontein,29 Jan 2023,
KA Maharaj (SA),DNB,-,-,-,-,-,2,,v England,Bloemfontein,29 Jan 2023,
A Nortje (SA),DNB,-,-,-,-,-,2,,v England,Bloemfontein,29 Jan 2023,
WD Parnell (SA),DNB,-,-,-,-,-,2,,v England,Bloemfontein,29 Jan 2023,
RJW Topley (ENG),DNB,-,-,-,-,-,1,,v South Africa,Kimberley,1 Feb 2023,
JC Archer (ENG),DNB,-,-,-,-,-,1,,v South Africa,Kimberley,1 Feb 2023,
MA Wood (ENG),DNB,-,-,-,-,-,2,,v Bangladesh,Mirpur,1 Mar 2023,
JC Archer (ENG),DNB,-,-,-,-,-,2,,v Bangladesh,Mirpur,1 Mar 2023,
MA Wood (ENG),DNB,-,-,-,-,-,1,,v Bangladesh,Mirpur,3 Mar 2023,
S Mahmood (ENG),DNB,-,-,-,-,-,1,,v Bangladesh,Mirpur,3 Mar 2023,
Mohammed Shami (IND),DNB,-,-,-,-,-,2,,v Australia,Wankhede,17 Mar 2023,
SN Thakur (IND),DNB,-,-,-,-,-,2,,v Australia,Wankhede,17 Mar 2023,
Kuldeep Yadav (IND),DNB,-,-,-,-,-,2,,v Australia,Wankhede,17 Mar 2023,
Mohammed Siraj (IND),DNB,-,-,-,-,-,2,,v Australia,Wankhede,17 Mar 2023,
Ebadot Hossain (BAN),DNB,-,-,-,-,-,1,,v Ireland,Sylhet,18 Mar 2023,
AT Carey (AUS),DNB,-,-,-,-,-,2,,v India,Visakhapatnam,19 Mar 2023,
C Green (AUS),DNB,-,-,-,-,-,2,,v India,Visakhapatnam,19 Mar 2023,
SPD Smith (AUS),DNB,-,-,-,-,-,2,,v India,Visakhapatnam,19 Mar 2023,
MP Stoinis (AUS),DNB,-,-,-,-,-,2,,v India,Visakhapatnam,19 Mar 2023,
SA Abbott (AUS),DNB,-,-,-,-,-,2,,v India,Visakhapatnam,19 Mar 2023,
NT Ellis (AUS),DNB,-,-,-,-,-,2,,v India,Visakhapatnam,19 Mar 2023,
MA Starc (AUS),DNB,-,-,-,-,-,2,,v India,Visakhapatnam,19 Mar 2023,
A Zampa (AUS),DNB,-,-,-,-,-,2,,v India,Visakhapatnam,19 Mar 2023,
M Labuschagne (AUS),DNB,-,-,-,-,-,2,,v India,Visakhapatnam,19 Mar 2023,
Hasan Mahmud (BAN),DNB,-,-,-,-,-,1,,v Ireland,Sylhet,20 Mar 2023,
Nasum Ahmed (BAN),DNB,-,-,-,-,-,1,,v Ireland,Sylhet,20 Mar 2023,
Ebadot Hossain (BAN),DNB,-,-,-,-,-,1,,v Ireland,Sylhet,20 Mar 2023,
G Coetzee (SA),DNB,-,-,-,-,-,2,,v West Indies,Potchefstroom,21 Mar 2023,
BC Fortuin (SA),DNB,-,-,-,-,-,2,,v West Indies,Potchefstroom,21 Mar 2023,
L Ngidi (SA),DNB,-,-,-,-,-,2,,v West Indies,Potchefstroom,21 Mar 2023,
Mushfiqur Rahim (BAN),DNB,-,-,-,-,-,2,,v Ireland,Sylhet,23 Mar 2023,
Nasum Ahmed (BAN),DNB,-,-,-,-,-,2,,v Ireland,Sylhet,23 Mar 2023,
Najmul Hossain Shanto (BAN),DNB,-,-,-,-,-,2,,v Ireland,Sylhet,23 Mar 2023,
Ebadot Hossain (BAN),DNB,-,-,-,-,-,2,,v Ireland,Sylhet,23 Mar 2023,
Taskin Ahmed (BAN),DNB,-,-,-,-,-,2,,v Ireland,Sylhet,23 Mar 2023,
Hasan Mahmud (BAN),DNB,-,-,-,-,-,2,,v Ireland,Sylhet,23 Mar 2023,
Shakib Al Hasan (BAN),DNB,-,-,-,-,-,2,,v Ireland,Sylhet,23 Mar 2023,
Mehidy Hasan Miraz (BAN),DNB,-,-,-,-,-,2,,v Ireland,Sylhet,23 Mar 2023,
Towhid Hridoy (BAN),DNB,-,-,-,-,-,2,,v Ireland,Sylhet,23 Mar 2023,
HB Shipley (NZ),DNB,-,-,-,-,-,2,,v Sri Lanka,Hamilton,31 Mar 2023,
R Ravindra (NZ),DNB,-,-,-,-,-,2,,v Sri Lanka,Hamilton,31 Mar 2023,
BM Tickner (NZ),DNB,-,-,-,-,-,2,,v Sri Lanka,Hamilton,31 Mar 2023,
MJ Henry (NZ),DNB,-,-,-,-,-,2,,v Sri Lanka,Hamilton,31 Mar 2023,
IS Sodhi (NZ),DNB,-,-,-,-,-,2,,v Sri Lanka,Hamilton,31 Mar 2023,
SSB Magala (SA),DNB,-,-,-,-,-,2,,v Netherlands,Benoni,31 Mar 2023,
K Rabada (SA),DNB,-,-,-,-,-,2,,v Netherlands,Benoni,31 Mar 2023,
T Shamsi (SA),DNB,-,-,-,-,-,2,,v Netherlands,Benoni,31 Mar 2023,
A Nortje (SA),DNB,-,-,-,-,-,2,,v Netherlands,Benoni,31 Mar 2023,
M Jansen (SA),DNB,-,-,-,-,-,2,,v Netherlands,Benoni,31 Mar 2023,
DA Miller (SA),DNB,-,-,-,-,-,2,,v Netherlands,Benoni,31 Mar 2023,
H Klaasen (SA),DNB,-,-,-,-,-,2,,v Netherlands,Benoni,31 Mar 2023,
T Shamsi (SA),DNB,-,-,-,-,-,1,,v Netherlands,Johannesburg,2 Apr 2023,
BM Tickner (NZ),DNB,-,-,-,-,-,1,,v Pakistan,Rawalpindi,27 Apr 2023,
MJ Henry (NZ),DNB,-,-,-,-,-,1,,v Pakistan,Rawalpindi,27 Apr 2023,
IS Sodhi (NZ),DNB,-,-,-,-,-,1,,v Pakistan,Rawalpindi,27 Apr 2023,
Shadab Khan (PAK),DNB,-,-,-,-,-,2,,v New Zealand,Rawalpindi,27 Apr 2023,
Haris Rauf (PAK),DNB,-,-,-,-,-,2,,v New Zealand,Rawalpindi,27 Apr 2023,
Naseem Shah (PAK),DNB,-,-,-,-,-,2,,v New Zealand,Rawalpindi,27 Apr 2023,
Shaheen Shah Afridi (PAK),DNB,-,-,-,-,-,2,,v New Zealand,Rawalpindi,27 Apr 2023,
R Ravindra (NZ),DNB,-,-,-,-,-,1,,v Pakistan,Rawalpindi,29 Apr 2023,
MJ Henry (NZ),DNB,-,-,-,-,-,1,,v Pakistan,Rawalpindi,29 Apr 2023,
IS Sodhi (NZ),DNB,-,-,-,-,-,1,,v Pakistan,Rawalpindi,29 Apr 2023,
HB Shipley (NZ),DNB,-,-,-,-,-,1,,v Pakistan,Rawalpindi,29 Apr 2023,
Naseem Shah (PAK),DNB,-,-,-,-,-,2,,v New Zealand,Rawalpindi,29 Apr 2023,
Ihsanullah (PAK),DNB,-,-,-,-,-,2,,v New Zealand,Rawalpindi,29 Apr 2023,
Usama Mir (PAK),DNB,-,-,-,-,-,2,,v New Zealand,Rawalpindi,29 Apr 2023,
Haris Rauf (PAK),DNB,-,-,-,-,-,2,,v New Zealand,Rawalpindi,29 Apr 2023,
Mohammad Nawaz (3) (PAK),DNB,-,-,-,-,-,2,,v New Zealand,Rawalpindi,29 Apr 2023,
Agha Salman (PAK),DNB,-,-,-,-,-,2,,v New Zealand,Rawalpindi,29 Apr 2023,
Naseem Shah (PAK),DNB,-,-,-,-,-,1,,v New Zealand,Karachi,3 May 2023,
Shaheen Shah Afridi (PAK),DNB,-,-,-,-,-,1,,v New Zealand,Karachi,3 May 2023,
Mohammad Wasim (1) (PAK),DNB,-,-,-,-,-,1,,v New Zealand,Karachi,3 May 2023,
Usama Mir (PAK),DNB,-,-,-,-,-,1,,v New Zealand,Karachi,5 May 2023,
Mohammad Wasim (1) (PAK),DNB,-,-,-,-,-,1,,v New Zealand,Karachi,5 May 2023,
Haris Rauf (PAK),DNB,-,-,-,-,-,1,,v New Zealand,Karachi,5 May 2023,
Hasan Mahmud (BAN),DNB,-,-,-,-,-,2,,v Ireland,Chelmsford,12 May 2023,
Ebadot Hossain (BAN),DNB,-,-,-,-,-,2,,v Ireland,Chelmsford,12 May 2023,
Fareed Ahmad (AFG),DNB,-,-,-,-,-,2,,v Sri Lanka,Hambantota,2 Jun 2023,
Noor Ahmad (AFG),DNB,-,-,-,-,-,2,,v Sri Lanka,Hambantota,2 Jun 2023,
Fazalhaq Farooqi (AFG),DNB,-,-,-,-,-,2,,v Sri Lanka,Hambantota,2 Jun 2023,
Azmatullah Omarzai (AFG),DNB,-,-,-,-,-,2,,v Sri Lanka,Hambantota,2 Jun 2023,
