,player,runs,mins,bf,4s,6s,sr,inns_batting,overs,mdns,runs_given,wkts,econ,inns_bowling,dis,ct,st,ct_wk,ct_fi,opposition,ground,start_date,country,runs_clean,Credits,Player Type,Player Name,Team,Bowling Style,fantasy_points,preferred_style,opponent_tier
67,L Ngidi,,0,0,0,0,0.0,1,8.0,0,56,2,7.0,2,0.0,0,0,0,0,v Afghanistan,Karachi,2025-02-21,SA,,7.0,BOWL,Lungi Ngidi,SA,Pace,52.0,BAL,3
68,M Jansen,0.0,2,1,0,0,0.0,1,8.0,1,32,1,4.0,2,0.0,0,0,0,0,v Afghanistan,Karachi,2025-02-21,SA,0.0,8.5,ALL,Marco Jansen,SA,Pace,34.0,BAL,3
69,Azmatullah Omarzai,18.0,34,27,3,0,66.66,2,6.0,0,39,1,6.5,1,1.0,1,0,0,1,v South Africa,Karachi,2025-02-21,AFG,18.0,8.0,ALL,Azmatullah Omarzai,AFG,Pace,67.0,BAL,2
70,RD Rickelton,103.0,154,106,7,1,97.16,1,DNB,0,0,0,0.0,2,2.0,2,0,2,0,v Afghanistan,Karachi,2025-02-21,SA,103.0,7.0,WK,Ryan Rickelton,SA,,197.0,BAL,3
71,Rahmat Shah,90.0,147,92,9,1,97.82,2,DNB,0,0,0,0.0,1,1.0,1,0,0,1,v South Africa,Karachi,2025-02-21,AFG,90.0,7.5,BAT,Rahmat Shah,AFG,,168.0,BAL,2
72,DA Miller,14.0,23,18,1,0,77.77,1,DNB,0,0,0,0.0,2,0.0,0,0,0,0,v Afghanistan,Karachi,2025-02-21,SA,14.0,7.5,BAT,David Miller,SA,,22.0,BAL,3
73,Noor Ahmad,9.0,23,15,1,0,60.0,2,9.0,0,65,1,7.22,1,0.0,0,0,0,0,v South Africa,Karachi,2025-02-21,AFG,9.0,7.0,BOWL,Noor Ahmad,AFG,Spin,40.0,BAL,2
74,HE van der Dussen,52.0,55,46,3,2,113.04,1,DNB,0,0,0,0.0,2,0.0,0,0,0,0,v Afghanistan,Karachi,2025-02-21,SA,52.0,8.0,BAT,Rassie van der-Dussen,SA,,94.0,BAL,3
75,Gulbadin Naib,13.0,21,19,2,0,68.42,2,7.0,0,42,0,6.0,1,0.0,0,0,0,0,v South Africa,Karachi,2025-02-21,AFG,13.0,7.0,ALL,Gulbadin Naib,AFG,Pace,25.0,BAL,2
76,T Bavuma,58.0,98,76,5,0,76.31,1,DNB,0,0,0,0.0,2,2.0,2,0,0,2,v Afghanistan,Karachi,2025-02-21,SA,58.0,8.0,BAT,Temba Bavuma,SA,,110.0,BAL,3
77,Ibrahim Zadran,17.0,45,29,1,1,58.62,2,DNB,0,0,0,0.0,1,0.0,0,0,0,0,v South Africa,Karachi,2025-02-21,AFG,17.0,8.0,BAT,Ibrahim Zadran,AFG,,31.0,BAL,2
78,Sediqullah Atal,16.0,46,32,2,0,50.0,2,DNB,0,0,0,0.0,1,1.0,1,0,0,1,v South Africa,Karachi,2025-02-21,AFG,16.0,6.5,BAT,Sediqullah Atal,AFG,,34.0,BAL,2
79,Rashid Khan,18.0,12,13,3,1,138.46,2,10.0,0,59,0,5.9,1,0.0,0,0,0,0,v South Africa,Karachi,2025-02-21,AFG,18.0,9.0,BOWL,Rashid-Khan,AFG,Spin,40.0,BAL,2
80,T de Zorzi,11.0,23,11,2,0,100.0,1,DNB,0,0,0,0.0,2,0.0,0,0,0,0,v Afghanistan,Karachi,2025-02-21,SA,11.0,6.5,BAT,Tony de Zorzi,SA,,23.0,BAL,3
81,Rahmanullah Gurbaz,10.0,18,14,1,0,71.42,2,DNB,0,0,0,0.0,1,0.0,0,0,0,0,v South Africa,Karachi,2025-02-21,AFG,10.0,8.5,WK,Rahmanullah Gurbaz,AFG,,18.0,BAL,2
82,PWA Mulder,,7,6,1,1,200.0,1,9.0,0,36,2,4.0,2,0.0,0,0,0,0,v Afghanistan,Karachi,2025-02-21,SA,12.0,7.0,ALL,Wiaan Mulder,SA,Pace,78.0,BAL,3
83,Hashmatullah Shahidi,0.0,3,4,0,0,0.0,2,DNB,0,0,0,0.0,1,1.0,1,0,0,1,v South Africa,Karachi,2025-02-21,AFG,0.0,7.5,BAT,Hashmatullah Shahidi,AFG,,9.0,BAL,2
84,Fazalhaq Farooqi,,2,0,0,0,0.0,2,8.0,0,59,1,7.37,1,0.0,0,0,0,0,v South Africa,Karachi,2025-02-21,AFG,0.0,8.0,BOWL,FazalHaq Farooqi,AFG,Pace,27.0,BAL,2
85,KA Maharaj,,0,0,0,0,0.0,1,10.0,0,46,1,4.6,2,1.0,1,0,0,1,v Afghanistan,Karachi,2025-02-21,SA,,8.0,BOWL,Keshav Maharaj,SA,Spin,37.0,BAL,3
86,AK Markram,,60,36,6,1,144.44,1,DNB,0,0,0,0.0,2,1.0,1,0,0,1,v Afghanistan,Karachi,2025-02-21,SA,52.0,8.0,ALL,Aiden Markram,SA,Spin,112.0,BAL,3
87,K Rabada,,0,0,0,0,0.0,1,8.3,1,36,3,4.23,2,1.0,1,0,0,1,v Afghanistan,Karachi,2025-02-21,SA,,9.0,BOWL,Kagiso Rabada,SA,Pace,95.0,BAL,3
